user1,user2
1895099,12001669
1895099,12002033
1895099,12129413
1895099,12195758
1895099,12510710
1895099,12670560
1895099,12719955
1895099,12813400
1895099,12921873
1895099,12961778
1895099,13048021
1895099,13051497
1895099,13191140
1895099,13201193
1895099,13226599
1895099,13261134
1895099,13268749
1895099,13507392
1895099,13571235
1895099,13723926
1895099,13817157
1895099,13883567
1895099,14094790
1895099,14722799
1895099,14733293
1895099,14738208
1895099,14839329
1895099,14917176
1895099,15104425
1895099,15414053
1895099,15666826
1895099,15973084
1895099,16306438
1895099,16445058
1895099,16478950
1895099,16698230
1895099,16761087
1895099,16843348
1895099,17223711
1895099,17253155
1895099,17328200
1895099,17343477
1895099,17497565
1895099,17506956
1895099,17728062
1895099,17821579
1895099,18187102
1895099,18342032
1895099,18416051
1895099,19017668
1895099,19029349
1895099,19085105
1895099,19112956
1895099,19120067
1895099,19251163
1895099,19482641
1895099,19525067
1895099,19616239
1895099,19683138
1895099,19711926
1895099,19771121
1895099,19837388
1895099,20232331
1895099,20259137
1895099,20530342
1895099,20699139
1895099,20792807
1895099,21350503
1895099,21446767
1895099,21653346
1895099,21809632
1895099,22099080
1895099,22170467
1895099,22186635
1895099,22347352
1895099,22614481
1895099,22629134
1895099,22920528
1895099,23173995
1895099,23229234
1895099,23316544
1895099,23400773
1895099,23410687
1895099,23430703
1895099,23677588
1895099,23696044
1895099,23761583
1895099,23973491
1895099,24032765
1895099,24145319
1895099,24280264
1895099,24465710
1895099,24821168
1895099,25251655
1895099,25324578
1895099,25353457
1895099,25354960
1895099,25436227
1895099,25509278
1895099,26064612
1895099,26120349
1895099,26213398
1895099,26604165
1895099,26619677
1895099,26923579
1895099,26951814
1895099,26991540
1895099,27045235
1895099,27202957
1895099,27467653
1895099,27532685
1895099,27614559
1895099,28337753
1895099,28367690
1895099,28526387
1895099,28890687
1895099,28945485
1895099,29013631
1895099,29055395
1895099,29095127
1895099,30045830
1895099,30060526
1895099,30073111
1895099,30668550
1895099,30782169
1895099,31028056
1895099,31223210
1895099,31291376
1895099,31484875
1895099,31651852
1895099,31678760
1895099,32096200
1895099,32233541
1895099,32275672
1895099,32338063
1895099,32517199
